user_id,retweet_count,text
2208905897,1185,"RT @DanaSchwartzzz: Donald Trump has 7 positions on his website. I read all of them so you don't have to. Or go do it, it's hilarious. http…"
58425534,9004,RT @Pandamoanimum: This photo of Donald Trump's mum looks like a character in a film about Trump's life where Trump plays all the roles htt…
1605560689,298,RT @CNN: Actress @ElizabethBanks parodies Donald Trump's Republican convention entrance https://t.co/mm44t5xU6G #DemsinPhilly https://t.co/…
192267333,0,"Oops!  Trump Accidentally Discovers Truth About Fox News: Oh geez, Donald Trump discovered the thing that 4 y... https://t.co/MakhFuWnBI"
755909567461068800,17,RT @TPM: Obama puts thumb on scale about Trump's possible ties to Putin https://t.co/2EvhguwRbo https://t.co/EGtaMHd3Cc
944879598,58,RT @THR: Watch: @ElizabethBanks compare Donald Trump to 'Hunger Games' character at #DemsInPhilly https://t.co/Qfo4TZpOGn https://t.co/fG4r…
3316485613,201,RT @BuzzFeedNews: .@ElizabethBanks spoofs Donald Trump's entrance while taking the stage at #DemsInPhilly https://t.co/p2hT5jGtZ4
619506147,0,"Elizabeth Banks Compares Donald Trump to 'Hunger Games' Character at DNC: ""A cruel, out-of-touch... https://t.co/LtfeKxxE6l #Movie #News"
148866559,0,"Donald Trump's worst nightmare 😂
https://t.co/PEjRvarHmr"
395476407,10,RT @WillametteM: And wasn't it Donald Trump who brought to the forefront that the press is crooked? #DNCLeaks
279217505,23,"RT @PatsKarvelas: My 7 year old after intense radio listening ""if Donald Trump wins people will think it's ok to say mean things about wome…"
392323377,298,RT @CNN: Actress @ElizabethBanks parodies Donald Trump's Republican convention entrance https://t.co/mm44t5xU6G #DemsinPhilly https://t.co/…
123045703,21,"RT @MicahGrimes: Pres. Obama on #DNCLeak: ""What I do know is that Donald Trump has repeatedly expressed admiration for Vladimir Putin."""
2881445474,1185,"RT @DanaSchwartzzz: Donald Trump has 7 positions on his website. I read all of them so you don't have to. Or go do it, it's hilarious. http…"
48967891,118,"RT @Bipartisanism: Donald Trump REFUSING To Pay His Hotel Bill After Campaign Stop, The Reason Is… https://t.co/nS7u2ZGb6a https://t.co/1Mr…"
388535257,1403,"RT @kumailn: Think of any situation. Birthday, flat tire, anything. Now add Donald Trump. Be honest. The situation is now worse. Imagine 4…"
3270783145,0,Donald Trump's lessons for Canadian politics An Abacus poll this spring suggested Trump would be trounced if Canad… https://t.co/RIWTUQG4kS
20354161,1279,"RT @DanaSchwartzzz: Hillary Clinton has detailed plans for 37 issues on her website
Donald Trump has 7 vague suggestions and 2 of them are…"
17500689,638,"RT @TheDailyShow: Donald Trump ""humbly"" accepts the Republican presidential nomination. https://t.co/3FK7CGVcwf https://t.co/zgUJQMPUc2"
353919244,13,"RT @peterwsinger: Donald Trump now in lawsuit with ""Freedom Kids"" who performed at campaign event
https://t.co/NQZiMUckN7
https://t.co/8m6N…"
2857162258,1,"RT @DandelionDollar: ""If you want your country to have your own Putin you can vote for Donald Trump"" -Pussy Riot- https://t.co/pL6N7xViSZ h…"
27699171,0,Hotel fights back after Donald Trump threatens not to pay. U do poor or shotie work u deserve poor pay. It's simple https://t.co/RaZjBasY3d
44156955,296,RT @CNN: Actress @ElizabethBanks parodies Donald Trump's Republican convention entrance https://t.co/mm44t5xU6G #DemsinPhilly https://t.co/…
3914229792,0,"@drbecs 

A review of Donald Trump and the dark triad of personality:

[https://t.co/8CTtmwvpqM] https://t.co/pcI1K9QBiA"
15534499,453,RT @CNN: Elizabeth Banks imitates Donald Trump's entrance at the Republican convention https://t.co/DD7sJjbmti #DemsInPhilly https://t.co/l…
90212014,0,@BretBaier @realDonaldTrump I guess the  dems &amp; George Will forgot about Uranium One and who made that deal. It sure wasn't Donald Trump.
5264181,18,"RT @SopanDeb: Trump tells @THR that he would think about hiring Roger Ailes for his campaign: 
https://t.co/DOHSiHZrjW https://t.co/f6mvlw5…"
371889510,19,"RT @maggieNYT: trump:""As we have many times in the past, we disavow David Duke. There’s no place for this in the Republican Party.” https:/…"
27254511,1,"RT @jeremycarl4: Exactly, @DavidAFrench: ""After crying wolf so often that millions of voters no longer believe wolves even exist."" https://…"
18790453,380,"RT @joshtpm: .@realDonaldTrump You forgot abt this hotel you built in Soho with all the Russian money. here's the link, bro https://t.co/sp…"
4500067813,0,"That's pretty good, except I actually know who Donald Trump is https://t.co/hnotLV4ERI"
171223299,5439,"RT @Zedd: I'm prepared for the worst case scenario 
(Donald Trump becoming President). https://t.co/BFCNM3A9Ue"
25197927,1741,"RT @HillaryClinton: On most campaigns, there isn't much ambiguity as to whether the candidate does or doesn't back KKK leaders. https://t.c…"
44210168,1282,"RT @DanaSchwartzzz: Hillary Clinton has detailed plans for 37 issues on her website
Donald Trump has 7 vague suggestions and 2 of them are…"
168681238,9003,RT @Pandamoanimum: This photo of Donald Trump's mum looks like a character in a film about Trump's life where Trump plays all the roles htt…
19614727,40,RT @MGRemmele: Are people aware of Donald Trump's mother's hair?  It explains a lot https://t.co/VwQ67qSdqe
2874493975,0,@changeisneeded_ @realDonaldTrump @DanScavino Donald trump will win this election 4 President of the United States of America we will fight
1459979845,20,RT @katiekruege123: If you think Hillary Clinton will make a better president than Donald trump then you're an idiot. I am sorry
19122899,33,RT @DanaSchwartzzz: Why does Trump think invoicing Mexico for a wall is going to work? If ANYONE knows that people just refuse to pay those…
2930318328,1185,"RT @DanaSchwartzzz: Donald Trump has 7 positions on his website. I read all of them so you don't have to. Or go do it, it's hilarious. http…"
22502280,116,RT @cnni: Actress @ElizabethBanks parodies Donald Trump's Republican convention entrance https://t.co/LDIX9xAnJ7 #DemsinPhilly https://t.co…
594722648,1185,"RT @DanaSchwartzzz: Donald Trump has 7 positions on his website. I read all of them so you don't have to. Or go do it, it's hilarious. http…"
19801016,69,"RT @mattdpearce: ""To say... 'I'm willing to risk Donald Trump being president' ... What a lap of luxury you must be living in."" https://t.c…"
101060871,33,RT @DanaSchwartzzz: Why does Trump think invoicing Mexico for a wall is going to work? If ANYONE knows that people just refuse to pay those…
2338026146,67,RT @TODAYshow: Actress @ElizabethBanks makes Donald Trump-style entrance at #DNCinPHL #DemsinPhilly  https://t.co/ZOcEQ9UKdG
172172480,1185,"RT @DanaSchwartzzz: Donald Trump has 7 positions on his website. I read all of them so you don't have to. Or go do it, it's hilarious. http…"
417282833,25077,RT @BernieSanders: We have got to defeat Donald Trump and do everything we can to elect Hillary Clinton to the White house. #DemsInPhilly
758045131945697281,37863,RT @briangaar: Donald Trump is basically a YouTube comment section running for president
3314642570,1185,"RT @DanaSchwartzzz: Donald Trump has 7 positions on his website. I read all of them so you don't have to. Or go do it, it's hilarious. http…"
298179699,11,"RT @twinpaulie: Just how obligated is Donald Trump to Vladimir Putin.
Could it be that Putin is bailing out a faltering Trump Financial Boo…"
